algorithm,delta,evaluation_iterations,iterations,memory,moves,openness,policy_iterations,runtime,seed,size,work
DFS,,,,8,56,0.0,,8.230000094044954e-05,1,10,82
BFS,,,,4,56,0.0,,0.00020260000019334257,1,10,77
A*_Manhattan,,,,4,56,0.0,,0.0010144000007130671,1,10,71
A*_Euclidean,,,,4,56,0.0,,0.0005357999980333261,1,10,71
Value_Iteration,0,,57,100,56,0.0,,0.004099607467651367,1,10,5643
Policy_Iteration,,178,,100,56,0.0,30,0.008417844772338867,1,10,17622
DFS,,,,3,42,0.0,,4.680000347434543e-05,2,10,44
BFS,,,,2,42,0.0,,4.119999721297063e-05,2,10,45
A*_Manhattan,,,,2,42,0.0,,5.8099998568650335e-05,2,10,44
A*_Euclidean,,,,2,42,0.0,,6.709999797749333e-05,2,10,44
Value_Iteration,0,,43,100,42,0.0,,0.004339933395385742,2,10,4257
Policy_Iteration,,168,,100,42,0.0,23,0.008239984512329102,2,10,16632
DFS,,,,12,22,0.1,,4.529999932856299e-05,1,10,46
BFS,,,,8,18,0.1,,6.360000043059699e-05,1,10,70
A*_Manhattan,,,,11,18,0.1,,5.750000127591193e-05,1,10,28
A*_Euclidean,,,,13,18,0.1,,8.290000187116675e-05,1,10,51
Value_Iteration,0,,20,100,18,0.1,,0.0,1,10,1980
Policy_Iteration,,133,,100,18,0.1,8,0.008466005325317383,1,10,13167
DFS,,,,9,24,0.1,,2.8300000849412754e-05,2,10,25
BFS,,,,13,18,0.1,,9.449999924981967e-05,2,10,97
A*_Manhattan,,,,11,18,0.1,,8.010000237845816e-05,2,10,52
A*_Euclidean,,,,10,18,0.1,,0.00010280000060447492,2,10,64
Value_Iteration,0,,25,100,18,0.1,,0.004052877426147461,2,10,2475
Policy_Iteration,,136,,100,18,0.1,14,0.0040721893310546875,2,10,13464
DFS,,,,16,168,0.0,,0.00022089999765739776,1,20,265
BFS,,,,5,168,0.0,,0.00079840000034892,1,20,255
A*_Manhattan,,,,6,168,0.0,,0.0002982000005431473,1,20,239
A*_Euclidean,,,,5,168,0.0,,0.00032589999682386406,1,20,241
Value_Iteration,9.404610869800933e-05,,89,400,3,0.0,,0.037323951721191406,1,20,35511
Policy_Iteration,,307,,400,3,0.0,52,0.05376601219177246,1,20,122493
DFS,,,,11,148,0.0,,0.0003195999997842591,2,20,372
BFS,,,,5,148,0.0,,0.00019750000137719326,2,20,221
A*_Manhattan,,,,7,148,0.0,,0.00023659999715164304,2,20,192
A*_Euclidean,,,,7,148,0.0,,0.000267400002485374,2,20,199
Value_Iteration,9.404610869800933e-05,,89,400,4,0.0,,0.03457808494567871,2,20,35511
Policy_Iteration,,319,,400,4,0.0,70,0.060294151306152344,2,20,127281
DFS,,,,54,144,0.1,,0.00015999999959603883,1,20,171
BFS,,,,24,42,0.1,,0.00035199999911128543,1,20,393
A*_Manhattan,,,,34,42,0.1,,0.0002420999990135897,1,20,174
A*_Euclidean,,,,30,42,0.1,,0.0003262999998696614,1,20,220
Value_Iteration,0,,47,400,42,0.1,,0.020034074783325195,1,20,18753
Policy_Iteration,,246,,400,42,0.1,30,0.03807258605957031,1,20,98154
DFS,,,,17,54,0.1,,5.4600001021753997e-05,2,20,57
BFS,,,,19,42,0.1,,0.00034779999987222254,2,20,396
A*_Manhattan,,,,41,42,0.1,,0.00026729999808594584,2,20,192
A*_Euclidean,,,,28,42,0.1,,0.00038829999903100543,2,20,268
Value_Iteration,0,,43,400,42,0.1,,0.018033504486083984,2,20,17157
Policy_Iteration,,208,,400,42,0.1,21,0.030061721801757812,2,20,82992
